Fecha,Descripción,Referencia,Valor
11/19/2024,PAGO PSE,0000050800,2000000
12/05/2024,PAGO PSE,89752,352724
12/14/2024,PAGO PSE,8703,3680000
12/16/2024,PAGO PSE,96212,470000
12/16/2024,PAGO PSE,21289,539000
12/26/2024,PAGO PSE,4464,20000
12/26/2024,PAGO PSE,92092,700000
12/26/2024,PAGO PSE,72469,40000
12/27/2024,PAGO PSE,82048,790000
12/30/2024,PAGO PSE,79692,130000
01/03/2025,PAGO PSE,33631,430000
01/07/2025,PAGO PSE,20999,1000000
01/15/2025,PAGO PSE,54744,105000
01/15/2025,PAGO PSE,0000003800,146000
01/15/2025,PAGO PSE,0000024700,80000
01/16/2025,PAGO PSE,0000096634,18000
05/06/2024,PAGO PSE,10823,157000
06/05/2024,PAGO PSE,89546,52000
06/13/2024,PAGO PSE,47767,3777928
12/11/2024,PAGO PSE,24824,111000
01/04/2024,PAGO PSE,63522,45000
04/02/2024,PAGO PSE,89611,1391391
09/30/2024,PAGO PSE,24877,4874215
01/29/2025,PAGO PSE,0000055400,20000
01/29/2025,PAGO PSE,53837,105000
01/29/2025,PAGO PSE,73720,139000
01/31/2025,PAGO PSE,0000058400,146000
01/31/2025,PAGO PSE,0000085300,20000
02/04/2025,PAGO PSE,29127,1000000
02/04/2025,PAGO PSE,0000020900,60000
02/05/2025,PAGO PSE,0000035700,290000
01/22/2025,PAGO PSE,0000034600,64581
02/15/2025,PAGO PSE,9a292e7b5d34,80000
02/17/2025,PAGO PSE,17410,83800
02/27/2025,PAGO PSE,24136,538000
02/28/2025,PAGO PSE,25150,1000000
03/03/2025,PAGO PSE,16116,448154
03/03/2025,PAGO PSE,74108,14739797
03/05/2025,PAGO PSE,47316,273000
03/21/2025,PAGO PSE,5343,1247000
03/25/2025,PAGO PSE,1320,225000
03/22/2025,PAGO PSE,0000043600,459838
03/22/2025,PAGO PSE,0000028600,5110000
03/25/2025,PAGO PSE,742957740430,100000
03/25/2025,PAGO PSE,0000042900,276000
03/27/2025,PAGO PSE,743120759220,30000
03/27/2025,PAGO PSE,0000026400,299000
03/28/2025,PAGO PSE,0000029200,95000
04/02/2025,PAGO PSE,2131,1000001
04/01/2025,PAGO PSE,,1816029
04/23/2025,PAGO PSE,,609000
04/26/2025,PAGO PSE,0a6123953662,570000
05/15/2025,PAGO PSE,5443,1647000
05/15/2025,PAGO PSE,5605,569998
05/15/2025,PAGO PSE,5707,289000
05/15/2025,PAGO PSE,556,35000
06/04/2025,PAGO PSE,,285000
06/06/2025,PAGO PSE,,269000
06/06/2025,PAGO PSE,4719,1759120
06/07/2025,PAGO PSE,4809,45000
06/09/2025,PAGO PSE,3543,50000
06/10/2025,PAGO PSE,2815,458000
06/12/2025,PAGO PSE,359,40000
07/07/2025,PAGO PSE,1812,3614436
07/09/2025,PAGO PSE,,269000
07/09/2025,PAGO PSE,603,195000
07/14/2025,PAGO PSE,0000068900,449000
07/15/2025,PAGO PSE,0000091100,305000
07/22/2025,PAGO PSE,0000083100,16000
07/29/2025,PAGO PSE,,655924
08/09/2025,PAGO PSE,0000056000,22000
08/09/2025,PAGO PSE,0000065800,186100
